G_ID,SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES
1532,Juncus secundus,JUNSEC,P. Beauv. ex Poir.,5,,ONE-SIDED RUSH,Juncaceae,276,FACU,forb,PE,full,JUSE,T,MO,native,FACU,FAC,FACU,
1533,Juncus sp.,JUNCUS,L.,,,RUSH,Juncaceae,,ND,forb,PE,full,JUNCU,,MO,,,,,
1534,Juncus subcaudatus,JUNSUB,(Engelm.) Coville & S.F. Blake,6,,SHORT-TAILED RUSH,Juncaceae,,OBL,forb,PE,full,JUSU,,MO,native,OBL,OBL,OBL,
1535,Juncus tenuis,JUNTEN,Willd.,1,syn,PATH RUSH,Juncaceae,277,FAC,forb,PE,partial,JUTE,,MO,native,FAC,FAC,FAC,
1536,Juncus torreyi,JUNTOR,Coville,3,,TORREY'S RUSH,Juncaceae,,FACW,forb,PE,full,JUTO,,MO,native,FACW,FACW,FACW,
1537,Juncus validus,JUNVAL,Coville,0,,ROUND-HEADED RUSH,Juncaceae,561,FACW,forb,PE,advent,JUVA2,,MO,adventive,FACW,FACW,,
1538,Juniperus communis,JUNCOM,L.,8,,COMMON JUNIPER,Cupressaceae,278,FACU,shrub,W,tree,JUCO6,E,GYMN,native,FACU,UPL,FACU,
1539,Juniperus sp.,JUNIPE,L.,,,JUNIPER,Cupressaceae,,ND,ND,W,ND,JUNIP,,GYMN,,,,,
1540,Juniperus virginiana,JUNVIR,L.,3,,EASTERN RED CEDAR,Cupressaceae,279,FACU,tree,W,tree,JUVI,,GYMN,native,FACU,FACU,FACU,
1541,Justicia americana,JUSAME,(L.) M. Vahl.,9,,WATER-WILLOW,Acanthaceae,,OBL,forb,PE,full,JUAM,,DI,native,OBL,OBL,OBL,
1542,Kalmia latifolia,KALLAT,L.,7,,MOUNTAIN LAUREL,Ericaceae,,FACU,shrub,W,shade,KALA,,DI,native,FACU,FACU,FACU,
1543,Kerria japonica,KERJAP,(L.) DC,0,,KERRIA,Rosaceae,,FACU,shrub,W,advent,KEJA,,DI,adventive,,,,
1544,Kickxia elatine,KICELA,(L.) Dumort,0,,SHARP-POINTED CANKERROOT,Scrophulariaceae,,FAC,forb,AN,advent,KIEL,,DI,adventive,FAC,FAC,FAC,
1545,Kickxia spuria,KICSPU,(L.) Dumort,0,,FLUELLIN,Scrophulariaceae,,UPL,forb,AN,advent,KISP,,DI,adventive,,,,
1546,Kochia scoparia,KOCSCO,(L.) Roth ex Schrad.,0,,SUMMER-CYPRESS,Chenopodiaceae,280,UPL,forb,AN,advent,BASC5,,DI,adventive,UPL,FACU,FACU,syn. Bassia scoparia
1547,Koeleria pyramidata,KOEPYR,(Lam.) P. Beauv.,10,syn,JUNE GRASS,Poaceae,,UPL,grass,PE,full,KOMA,E,MO,native,,,,
1548,Koelreuteria paniculata,KOEPAN,Laxm.,0,,GOLDEN-RAINTREE,Sapindaceae,,FACU,tree,W,advent,KOPA,,DI,adventive,,,,
1549,Krigia biflora,KRIBIF,(Walter) S.F. Blake,5,,ORANGE DWARF-DANDELION,Asteraceae,,FACU,forb,PE,full,KRBI,,DI,native,FACU,FACU,FACU,
1550,Krigia dandelion,KRIDAN,(L.) Nutt.,6,,POTATO-DANDELION,Asteraceae,,FAC,forb,PE,full,KRDA,T,DI,native,FAC,FACU,,
1551,Krigia sp.,KRIGIA,Schreb.,,,DWARF-DANDELION,Asteraceae,,ND,forb,PE,full,KRIGI,,DI,,,,,
1552,Krigia virginica,KRIVIR,(L.) Willd.,8,,DWARF-DANDELION,Asteraceae,,UPL,forb,AN,full,KRVI,T,DI,native,UPL,UPL,UPL,
1553,Kuhnia eupatorioides,KUHEUP,L.,7,syn,FALSE BONESET,Asteraceae,281,UPL,forb,PE,full,BREUE,,DI,native,,,,
1554,Kyllinga gracillima,KILGRA,Miq.,0,,ASIATIC GREENHEDGE SEDGE,Cyperaceae,,FACU,sedge,AN,full,,,MO,adventive,FACU,FACW,FACW,
1555,Kyllinga pumila,KYLPUM,Michx.,4,syn,THIN-LEAVED UMBRELLA-SEDGE,Cyperaceae,,FACW,sedge,AN,full,KYPU,,MO,native,FACW,FACW,FACW,
1556,Kyllinga sp.,KYLLIN,Rottb.,,,ND,Cyperaceae,,ND,sedge,AN,full,,,MO,,,,,
1557,Lactuca biennis,LACBIE,(Moench) Fernald,1,,TALL BLUE LETTUCE,Asteraceae,,FACU,forb,BI,partial,LABI,,DI,native,FACU,FAC,FAC,
1558,Lactuca canadensis,LACCAN,L.,1,,WILD LETTUCE,Asteraceae,282,FACU,forb,BI,partial,LACA,,DI,native,FACU,FACU,FACU,
1559,Lactuca floridana,LACFLO,(L.) Gaertn.,3,,WOODLAND LETTUCE,Asteraceae,283,FACU,forb,BI,partial,LAFL,,DI,native,FACU,FACU,FACU,
1560,Lactuca hirsuta,LACHIR,Muhl. ex Nutt.,7,,HAIRY LETTUCE,Asteraceae,,UPL,forb,BI,partial,LAHI,E,DI,native,,,,
1561,Lactuca pulchella,LACPUL,(Pursh) DC.,0,syn,WESTERN BLUE LETTUCE,Asteraceae,,FAC,forb,PE,advent,LATAP,,DI,adventive,FAC,FAC,FAC,syn. Lactuca tatarica var. pulchella
1562,Lactuca saligna,LACSAL,L.,0,,WILLOW-LEAVED LETTUCE,Asteraceae,,FACU,forb,BI,advent,LASA,,DI,adventive,UPL,FACU,FACU,
1563,Lactuca serriola,LACSER,L.,0,,PRICKLY LETTUCE,Asteraceae,284,FAC,forb,BI,advent,LASE,,DI,adventive,FAC,FACU,FACU,
1564,Lactuca sp.,LACTUC,L.,,,LETTUCE,Asteraceae,,ND,forb,ND,ND,LACTU,,DI,,,,,
1565,Lamium amplexicaule,LAMAMP,L.,0,,HENBIT,Lamiaceae,,UPL,forb,AN,advent,LAAM,,DI,adventive,,,,
1566,Lamium maculatum,LAMMAC,L.,0,,SPOTTED DEAD-NETTLE,Lamiaceae,,UPL,forb,PE,advent,LAMA,,DI,adventive,,,,
1567,Lamium purpureum,LAMPUR,L.,0,,PURPLE DEAD-NETTLE,Lamiaceae,,UPL,forb,AN,advent,LAPU2,,DI,adventive,,,,
1568,Lamium sp.,LAMIUM,L.,,,DEAD-NETTLE,Lamiaceae,,UPL,forb,ND,advent,LAMIU,,DI,,,,,
1569,Laportea canadensis,LAPCAN,(L.) Wedd.,5,,WOOD-NETTLE,Urticaceae,,FACW,forb,PE,shade,LACA3,,DI,native,FAC,FACW,FACW,
1570,Lappula squarrosa,LAPSQU,(Retz.) Dumort.,0,,EUROPEAN STICKSEED,Boraginaceae,,UPL,forb,AN,advent,LASQ,,DI,adventive,,,,
1571,Lapsana communis,LAPCOM,L.,0,,NIPPLEWORT,Asteraceae,,UPL,forb,AN,advent,LACO3,,DI,adventive,FACU,FACU,FACU,
1572,Larix laricina,LARLAR,(Du Roi) K. Koch,9,,TAMARACK,Pinaceae,,FACW,tree,W,tree,LALA,P,GYMN,native,FACW,FACW,FACW,
1573,Lathyrus latifolius,LATLAT,L.,0,,EVERLASTING PEA,Fabaceae,,UPL,forb,PE,advent,LALA4,,DI,adventive,,,,
1574,Lathyrus maritimus,LATMAR,(L.) Bigelow,10,,INLAND BEACH PEA,Fabaceae,285,FACU,forb,PE,full,LAJAM,T,DI,native,FACU,FACU,FACU,syn. Lathyrus japonicus
1575,Lathyrus ochroleucus,LATOCH,Hook.,9,,YELLOW VETCHLING,Fabaceae,,UPL,forb,PE,full,LAOC2,E,DI,native,,,,
1576,Lathyrus odoratus,LATODO,L.,0,,SWEET PEA,Fabaceae,,UPL,forb,AN,advent,LAOD,,DI,adventive,,,,
1577,Lathyrus palustris,LATPAL,L.,5,,MARSH PEA,Fabaceae,,FACW,forb,PE,full,LAPA4,,DI,native,FACW,FACW,FACW,
1578,Lathyrus pratensis,LATPRA,L.,0,,MEADOW PEA,Fabaceae,,FACU,vine,AN,advent,LAPR,,DI,adventive,FACU,FACU,FACU,
1579,Lathyrus sp.,LATHYR,L.,,,PEA,Fabaceae,,ND,forb,ND,ND,LATHY,,DI,,,,,
1580,Lathyrus tuberosus,LATTUB,L.,0,,TUBEROUS VETCHLING,Fabaceae,,UPL,forb,PE,advent,LATU,,DI,adventive,,,,
1581,Lathyrus venosus,LATVEN,Muhl. ex Willd.,8,,WILD PEA,Fabaceae,,FACW,forb,PE,full,LAVE,E,DI,native,FACW,FAC,FAC,
1582,Leavenworthia uniflora,LEAUNI,(Michx.) Britton,9,,LEAVENWORTHIA,Brassicaceae,,FAC,forb,AN,full,LEUN,T,DI,native,FAC,FACU,,
1583,Lechea intermedia,LECINT,Legg. ex Britton,7,,ROUND-FRUITED PINWEED,Cistaceae,,UPL,forb,PE,full,LEIN,P,DI,native,,,,
1584,Lechea minor,LECMIN,L.,8,syn,THYME-LEAVED PINWEED,Cistaceae,286,UPL,forb,PE,full,LEMI,T,DI,native,,,,
1585,Lechea mucronata,LECMUC,Raf.,7,syn,HAIRY PINWEED,Cistaceae,287,UPL,forb,PE,full,LEMU3,P,DI,native,,,,
